NCT	title	status	study_results	study_type	start_date	min_age	max_age	gender	criteria	healthy_volunteers	sampling_method	locations	phases	enrollment	description	url	outcome_measures
NCT05883007	Safety Cohort Study for Dose Optimization of Accelerator-based BPA-BNCT in Patients With Unresectable Locally Recurrent Squamous Cell Carcinoma of the Head and Neck (ST-BNCT2001)	ACTIVE_NOT_RECRUITING	False	INTERVENTIONAL	2020-06-01	20	None	ALL	Inclusion Criteria:  * Signed written informed consent to participate in the clinical trial on their own free will. * Aged over 20 years at the time of consent obtaining. * ECOG performance status (PS) of 0-2. * Histologically confirmed a primary lesion of Head and Neck cancer. * Following condition:    1. Locally Recurrent Head and Neck Squamous Cell Carcinoma after chemo radiotherapy or radiation therapy.   2. Primary Head or Neck Squamous Cell Carcinoma with no indicated of radical radiation therapy for the target lesions. * More than one the target lesions based on RECIST (version 1.1) * Local recurrent lesion localized to unilateral. * Received a fractionated radiation therapy with total doses of ≥40 and ≤80 Gy at around 2 Gy per daily fraction at target lesion sites or an equivalent biologically effective dose. * ≥50 days have passed since the last irradiation date of the prior radiation therapy at target lesion sites to the day of scheduled BNCT * Have an estimated survival of ≥90 days after BNCT. * Estimated able to receive the minimum tumor dose at least 20Gy-Eq. * Screening test values that meet the following criteria. * No abnormal findings of clinical concern in chest X-ray exam.  Exclusion Criteria:  * Active multiple primary cancers. * Distant metastatic lesions. * Active infections requiring systemic treatment. * Serious complications. * Poorly controlled diabetes mellitus. * Poorly controlled hypertension. * Chronic lung diseases. * Kidney diseases. * Cardiac diseases. * Other serious complications. * Phenylketonuria. * Hereditary fructose intolerance. * Current or past medical history of serious hypersensitivity to drugs or contrast media. * Myocardial infarction, unstable angina, or poorly controlled arrhythmia within 6 months prior to the scheduled BNCT. * Grade ≥3 (CTCAE v4.0) symptom at the target site. * Tumor invasion of the carotid artery or adjacent to over half of the carotid artery. * Dental caries whose treatment has not been completed. * Received antitumor drugs within 4 weeks prior to the scheduled BNCT. * Participating in a clinical study of an unapproved drug except 18F-F BPA-PET/CT examinations within 4 weeks prior to the scheduled BNCT. * Implanted with a cardiac pacemaker, ventricular assist device, or the like. * Inability to immobilize at a right position during irradiation by the investigator (subinvestigator) * Pregnant or who are breastfeeding during the period of the clinical trial. * Mental illness or mental conditions. * Poorly controlled epilepsy. * Unable to comply with the protocol and to attend follow-up visits. * With a history of BNCT. * Considered unfit to participate in this clinical trial as assessed by the investigator.	False		Japan	PHASE1	30	The goal of this clinical trial is to evaluate the safety of applying BNCT with the dose optimization in patients with recurrent head and neck cancer. The main questions it aims to answer are:  - Dose optimized BNCT are conducted safety in these patients. Participants will receive dose optimized BNCT regulated as 12, 15, 18 Gy-Eq of the mucosal dose.	https://ClinicalTrials.gov/show/NCT05883007	Adverse events (Absence and presence of serious adverse events); Within 90days after the completion of BNCT|Adverse events (Absence and presence of serious adverse events); Within 90days after the completion of BNCT
NCT05882279	Evaluation of the Effectiveness of Risk Minimization Measures: A Survey Among Pharmacists to Assess the Impact of the RMP Material for Patients on Promoting the Proper Use of NINLARO in Japan	COMPLETED	False	OBSERVATIONAL	2023-06-01	18	None	ALL	Inclusion criteria:  1. Who belong to hospitals prescribing NINLARO. 2. Who have instructed the dosing of NINLARO in IRD therapy to patients.  Exclusion criteria:  None	False	NON_PROBABILITY_SAMPLE	Japan		300	This is a survey among pharmacists who have instructed NINLARO therapy in ixazomib, lenalidomide and dexamethasone (IRD) dosing to patients with relapsed/refractory multiple myeloma (rrMM).  The main aims of the study are:  * To assess the frequency of pharmacists who have provided patients with the contents of the RMP material for patients. * To assess the frequency of pharmacists who have obtained the RMP material for patients. * To evaluate the depth of understanding of proper usage of NINLARO among pharmacists.	https://ClinicalTrials.gov/show/NCT05882279	Number of Pharmacists who Have Provided Patients With the Contents of the RMP Material; 12 days|Number of Pharmacists who Have Provided Patients With the Contents of the RMP Material; 12 days
NCT05879653	A Phase 2, Open-label, Multi-institutional Study to Evaluate the Efficacy of Induction Therapy With MK-3475 and ASG-22CE Followed by Radiation Therapy With MK-3475 in Patients With MIBC Who Are Unfit for or Refuse Radical Cystectomy	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-10-01	18	None	ALL	Inclusion Criteria:  * Participants are eligible to be included in the study only if all of the following criteria apply:    1. Male/female participants who are at least 18 years of age on the day of signing informed consent and who have a first confirmed diagnosis of MIBC with predominant urothelial histology obtained via a diagnostic or maximal TURBT within 90 days prior to enrollment.       Note: Participants with mixed histology are eligible provided the urothelial component is ≥50%.   2. Has clinically non-metastatic bladder cancer (N0M0) determined by imaging (CT of the chest and CTU/MRU of abdomen and pelvis), assessed by the site.   3. Male participants:       A male participant must agree to use a contraception and not to donate sperm during the administration of MK-3475 and ASG-22CE and for at least 90 days after the last dose of MK-3475 and for 6 months after ASG-22CE.   4. Female participants:       A female participant is eligible to participate if she is not pregnant, not breastfeeding, and at least one of the following conditions applies:      1. Not a woman of childbearing potential (WOCBP) OR      2. A WOCBP who agrees to follow the contraceptive guidance during the treatment period and for at least 120 days after the last dose of MK3475 and for 6 months after ASG-22CE and RT.   5. The participant provides written informed consent for the trial.   6. Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 1. Evaluation of ECOG is to be performed within 7 days prior to the first dose of study intervention.   7. Demonstrates adequate organ function. All screening laboratory tests should be performed within 10 days prior to the first dose of study intervention.  Exclusion Criteria:  Participants are excluded from the study if any of the following criteria apply:  Medical Conditions  1. Has the presence of diffuse CIS (multiple foci \[4 or greater\] of CIS) throughout the bladder. 2. Has the presence of UC at any site outside of the urinary bladder in the previous 2 years except for Ta/T1/CIS of the upper tract if the patient has undergone a complete nephroureterectomy. 3. Has the presence of any small cell or neuroendocrine component in the tumor tissue sample. 4. Has a known additional malignancy that is progressing or has required active therapy within the past 3 years.     Note: Participants with basal cell carcinoma of the skin, squamous cell carcinoma of the skin, superficial bladder cancer or other carcinoma in situ (eg, breast carcinoma, cervical cancer in situ) who have undergone potentially curative therapy are not excluded. Participants with low-risk prostate cancer (T1-T2a, Gleason score ≤6, and PSA \<10 ng/mL) either treated with definitive intent any time before screening or untreated in active surveillance are not excluded. 5. Has limited bladder function with frequency of small amounts of urine (\< 30 mL), urinary incontinence, or requires self-catheterization or a permanent indwelling catheter. 6. Has a history of radiation therapy to the pelvic region for any reason.     Prior/Concomitant Therapy 7. Has received prior pelvic/local radiation therapy or any antineoplastic treatment for MIBC.     Note: Prior treatment for NMIBC with intravesical instillation therapy such as BCG or intravesical chemotherapy is permitted, but must be completed ≥28 days before the first dose of the trial drug. Prior systemic treatment received for treatment of NMIBC is not permitted. 8. Has received prior therapy with an anti-PD-1, anti-PD-L1, or anti-PD-L2 agent or with an agent directed to another stimulatory or co-inhibitory T-cell receptor (eg, CTLA-4, OX-40, CD137). 9. Has received prior therapy with an ASG-22CE or other MMAE-containing ADCs. 10. Has received a live vaccine or live-attenuated vaccine within 30 days before the first dose of study intervention. Administration of killed vaccines is allowed.      Note: please refer to Section 5.5 for information on COVID-19 vaccines Prior/Concurrent Clinical Study Experience 11. Is currently participating in or has participated in a study of an investigational agent or has used an investigational device within 3 months before the first dose of study intervention.      Note: Participants who have entered the follow-up phase of an investigational study may participate as long as it has been 4 weeks after the last dose of the previous investigational agent.      Diagnostic Assessments 12. A WOCBP who has a positive urine pregnancy test within 72 hours prior to the first dose of study intervention (see Appendix 3). If the urine test is positive or cannot be confirmed as negative, a serum pregnancy test will be required. 13. Has uncontrolled diabetes. Uncontrol diabetes is defined as hemoglobin A1c (HbA1c) ≥8% or HbA1c 7% to \<8% with associated diabetes symptoms (polyuria or polydipsia) that are not otherwise explained. 14. Has ongoing sensory or motor neuropathy Grade 2 or higher. 15. Has active keratitis or corneal ulceration. Subjects with superficial punctate keratitis are allowed if the disorder is being adequately treated in the opinion of the investigator. 16. Has received prior radiotherapy within 2 weeks of start of study intervention or radiation-related toxicities requiring corticosteroids. Note: Two weeks or fewer of palliative radiotherapy for non-CNS disease, with a 1-week washout, is permitted. 17. Has a diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy (in dosing exceeding 10 mg daily of prednisone equivalent) or any other form of immunosuppressive therapy within 7 days prior to the first dose of trial drug. 18. Has severe hypersensitivity (≥Grade 3) to MK-3475, ASG-22CE and/or any of their excipients. 19. Has active autoimmune disease that has required systemic treatment in the past 2 years except replacement therapy (eg., thyroxine, insulin, or physiologic corticosteroid). 20. Has a history of (non-infectious) pneumonitis/interstitial lung disease that required steroids or has current pneumonitis/interstitial lung disease. 21. Has an active infection requiring systemic therapy. 22. Has a known history of Human Immunodeficiency Virus (HIV) infection. The test should be performed within 28 days prior to the first dose of the trial drug. 23. Concurrent active Hepatitis B (defined as HBsAg positive and/or detectable HBV DNA) and Hepatitis C virus (defined as anti-HCV Ab positive and detectable HCV RNA) infection. The test should be performed within 28 days prior to the first dose of the trial drug. 24. Has not adequately recovered from major surgery or has ongoing surgical complications. 25. Has a history or current evidence of any condition, therapy, or laboratory abnormality or other circumstance that might confound the results of the study, interfere with the participant's participation for the full duration of the study, such that it is not in the best interest of the participant to participate, in the opinion of the treating investigator. 26. Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial. 27. Pregnant or lactating, or female patients or male patients who wish to become pregnant from the time of screening to 120 days after the last dose of MK-3475 and 6 months after radiotherapy and the last dose of ASG-22CE, or their partners. 28. Has had an allogenic tissue/solid organ transplant. 29. Has a documented history of a cerebral vascular event (stroke or transient ischemic attack), unstable angina, myocardial infarction, or cardiac symptoms consistent with NYHA Class IV within 6 months prior to the first dose of the trial drug. 30. Or, if participation in this clinical trial is considered inappropriate according to the judgment of the investigator.	False		Japan	PHASE2	30	This study is designed to assess the efficacy and safety of induction therapy with MK-3475 and ASG-22CE and radiation therapy with MK-3475 in patients with cT2-4aN0M0 muscle invasive bladder cancer who are unfit for or refuse radical cystectomy.	https://ClinicalTrials.gov/show/NCT05879653	Bladder Intact Event-Free Survival (BI-EFS) rate; 2 years|Bladder Intact Event-Free Survival (BI-EFS) rate; 2 years
NCT05878938	Open-label Safety Study in Adults and Adolescents With Haemophilia A With and Without FVIII Inhibitors Switching Directly From Emicizumab Prophylaxis to NNC0365-3769 (Mim8) Prophylaxis	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-06-26	12	None	ALL	Inclusion Criteria:  1. Informed consent obtained before any study-related activities. Study-related activities are any procedures that are carried out as part of the study, including activities to determine suitability for the study. 2. Male or female with diagnosis of congenital haemophilia A of any severity based on medical records. 3. Age 12 years or above at the time of signing the informed consent. 4. Participants treated with emicizumab once-weekly (QW), once every two weeks (Q2W), or once every four weeks (Q4W) according to the label for at least 8 weeks prior to screening. 5. Participants choosing to discontinue emicizumab treatment and switch to Mim8 QW, Q2W, or once-monthly (QM) treatment for 26 weeks from start of treatment (Visit 2). 6. Participant and/or caregiver willingness and ability to comply with scheduled visits and study procedures, including the completion of an electronic diary and patient-reported outcomes (PRO) questionnaires.  Exclusion Criteria:  1. Participation (i.e., signed informed consent) in any interventional, clinical study, with the exception of emicizumab, with receipt of the last dose within 8 weeks (or 5 half-lives of the investigational medicinal product \[IMP\], whichever is longer) before screening. 2. Any disorder, which in the investigator's opinion might jeopardise the participant's compliance with the protocol or safety, including ongoing Adverse Events (AEs) associated with emicizumab. 3. Previous participation in this study. Participation is defined as signed informed consent. 4. Known congenital or acquired coagulation disorders other than haemophilia A. 5. Previous or current thromboembolic disease or events (with the exception of previous catheter associated thrombosis for which anti-thrombotic treatment is not currently ongoing) or risk of thromboembolic disease, as evaluated by investigator. 6. Neutralising antibodies towards emicizumab have been detected or, for patients adherent to emicizumab therapy, are suspected based on clinical and laboratory assessments. 7. Receipt of FVIII gene therapy at any time. 8. Ongoing or planned immune tolerance induction therapy. 9. Minor or major surgery planned to take place after screening and during the 26-week treatment period. 10. Known or suspected hypersensitivity to study intervention, related products, any constituents of the product or to other monoclonal antibodies. 11. Hepatic dysfunction defined as aspartate aminotransferase (AST) and/or alanine aminotransferase (ALT) greater than (\>) 3 times the upper limit combined with total bilirubin \>1.5 times the upper limit measured at screening. 12. Renal impairment defined as estimated glomerular filtration rate (eGFR) lesser than or equal to (≤) 30 milliliter per minute per 1.73 square meter (mL/min/1.73 m\^2) for serum creatinine measured at screening. 13. Female who is pregnant, breast-feeding or intends to become pregnant or is of childbearing potential and not using highly effective contraceptive method. 14. Mental incapacity, unwillingness to cooperate, or a language barrier precluding adequate understanding and cooperation. 15. Other conditions (e.g. autoimmune disease) or laboratory abnormality that may increase risk of bleeding or thrombosis as evaluated by the investigator.	False		Belgium|Austria|United States|Italy|Canada|Korea, Republic of|Spain|Japan|France|Germany|United Kingdom|South Africa	PHASE3	48	This study is looking at how safe it is to switch from emicizumab to Mim8, in people with haemophilia A. Mim8 is a new medicine that is used to prevent bleeding episodes in people with haemophilia A. Mim8 works by replacing the function of the missing clotting factor VIII (FVIII). Mim8 will be injected under the skin using a pen-injector either once every week, once every two weeks or once every month. The participants will be trained in using the pen injector. The participants can choose themselves, in collaboration with the study doctor how often they get Mim8 in this study. When the participant will get their first Mim8 injection depends on their current treatment with emicizumab. The participants will get their first Mim8 injection at Visit 2. Participants will have between 6 and 27 Mim8 injections. The total number of injections participants will have depends on their dosing frequency. The study will last for about 6-12 months. While taking part in this study, there are some restrictions about what medicine participant can use. The study doctor will tell the participants more about this. In case the participants experience bleeds, these can be treated with additional haemostatic medicine as agreed with the study doctor. Female participants cannot take part if they are pregnant, breast-feeding or plan to get pregnant during the study period.	https://ClinicalTrials.gov/show/NCT05878938	Number of treatment-emergent adverse events; From Visit 2 (week 0) until week 26|Number of treatment-emergent adverse events; From Visit 2 (week 0) until week 26
NCT05869903	A Phase 3, Randomized, Double-Blind Study to Investigate the Efficacy and Safety of Once-Daily Oral LY3502970 Compared With Placebo in Adult Participants With Obesity or Overweight With Weight-Related Comorbidities (ATTAIN-1)	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-06-05	18	None	ALL	Inclusion Criteria:  * Have a BMI    * ≥30.0 kilogram/square meter (kg/m²),   * ≥27.0 kg/m² and presence of at least 1 of the following weight-related comorbidities (treated or untreated) at screening:      * Hypertension, dyslipidemia, obstructive sleep apnea, cardiovascular disease (for example, ischemic cardiovascular disease, New York Heart Association Functional Class I-III heart failure). * Have a history of at least 1 self-reported unsuccessful dietary effort to lose body weight.  Exclusion Criteria:  * Have Type 1 diabetes, Type 2 diabetes, or any other types of diabetes, history of ketoacidosis, or hyperosmolar state/coma * Have a self-reported change in body weight \>5 kg (11 pounds) within 90 days prior to screening. * Have family (first-degree relative) or personal history of medullary thyroid cancer (MTC) or multiple endocrine neoplasia (MEN)2 syndrome. * Have had a history of chronic or acute pancreatitis.	False		United States|Slovakia|India|Taiwan|Korea, Republic of|Spain|Japan|China|Puerto Rico|Brazil	PHASE3	3000	This study will investigate the efficacy and safety of once daily oral orforglipron in adult participants with obesity or overweight with weight-related comorbidities.	https://ClinicalTrials.gov/show/NCT05869903	Mean Percent Change from Baseline in Body Weight; Baseline to Week 72|Mean Percent Change from Baseline in Body Weight; Baseline to Week 72
NCT05863234	Multicenter, Open-label, Dose-escalation Phase I/II Study to Evaluate the Tolerability, Safety, Efficacy and Pharmacokinetics of Repeated Continuous Intravenous PPMX-T003 in Patients With Aggressive NK Cell Leukaemia (ANKL) (Physician-initiated Clinical Trial)	RECRUITING	False	INTERVENTIONAL	2023-04-20	20	70	ALL	Inclusion Criteria:  * Patients diagnosed with ANKL (regardless of whether the disease is first or recurrent) based on diagnostic criteria developed with reference to the World Health Organization (WHO) 4th edition (2017) criteria.  Exclusion Criteria:  * Patients eligible to receive chemotherapy as treatment for ANKL	False		Japan	PHASE1|PHASE2	6	This is Phase I/II Dose-Escalation Study to evaluate the tolerability, safety, efficacy and pharmacokinetics of PPMX-T003 in aggressive NK-cell leukemia.	https://ClinicalTrials.gov/show/NCT05863234	Number of Patients Experiencing Treatment-emergent Adverse Events (TEAEs) in the study; 35days|Number of Patients Experiencing Treatment-emergent Adverse Events (TEAEs) in the study; 35days
NCT05861427	A Phase 2/3, Multicenter, Randomized, Double-Blind, Placebo Controlled, Parallel-Group Study With An Active Treatment Extension to Evaluate the Efficacy, Safety, and Tolerability of Oral Atogepant for the Prevention of Migraine in Japanese Subjects With Episodic Migraine	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-05-30	18	80	ALL	Inclusion Criteria:  * At least a 1-year history of migraine (with or without aura). * Less than 50 years of age at the time of migraine onset. * History of 4 to 14 migraine days per month in the 3 months prior to screening. * 4 to 14 migraine days in the baseline period and completed at least 20 out of 28 days at the baseline period per the eDiary.  Exclusion Criteria:  * Difficulty with distinguishing migraine headaches from tension-type or other headaches. * Clinically significant hematologic, endocrine, pulmonary, renal, hepatic, gastrointestinal, or neurologic disease.	False		Japan	PHASE3	520	A migraine is a moderate to severe headache on one side of the head. A migraine attack is a headache that may be accompanied by throbbing, nausea, vomiting, sensitivity to light and sound, or other symptoms. This study will assess how safe and effective three different doses of atogepant is compared to placebo in adult Japanese participants. Change in migraine symptoms will be assessed.  Atogepant (Qulipta) is an approved drug to treat adults with episodic migraine in the United States. Participants are randomly assigned to one of the 4 treatment groups called Arms to receive atogepant or matching placebo. There is 1 in a 4 chance for the participant to receive placebo. This is double-blinded study which means neither study doctor not the participant will know if the participant received atogepant or placebo. Approximately 520 adult participants with episodic migraine will be enrolled in approximately 45 sites across Japan.  Participants will receive oral atogepant or matching placebo tablets once daily for 12 weeks. At 12 weeks participants assigned to atogepant dose A, dose B or dose C will continue to receive same treatment for 12 additional weeks and participants assigned to placebo will be re-randomized to receive atogepant dose A, dose B or dose C for 12 additional weeks. All participants will be followed for 30 days following last dose of study drug.  There may be higher treatment burden for participants in this trial compared to their standard of care. Participants will attend regular visits during the study at a hospital or clinic. The safety and tolerability of the treatment will be checked by medical assessments, blood tests, checking for adverse events and completing questionnaires.	https://ClinicalTrials.gov/show/NCT05861427	Change From Baseline in Mean Monthly Migraine Days; Up to 12 Weeks|Change From Baseline in Mean Monthly Migraine Days; Up to 12 Weeks
NCT05843643	SELECT-SLE: A Phase 3 Program to Evaluate the Safety and Efficacy of Upadacitinib in Subjects With Moderately to Severely Active SLE	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-06-30	18	63	ALL	Inclusion Criteria:  * Clinical diagnosis of systemic lupus erythematosus (SLE) at least 24 weeks prior to screening as defined by the 2019 European Alliance of Associations for Rheumatology (EULAR)/ American College of Rheumatology (ACR) classification criteria for SLE. * At Screening, must have at least one of the following:    * antinuclear antibody (ANA) positive (titer \>= 1:80)   * anti-double stranded deoxyribonucleic acid (dsDNA) positive   * anti-Smith positive * Hybrid systemic lupus erythematosus disease activity index (hSLEDAI) \>= 6, of which \>= 4 points are clinical (not based on laboratory criteria), independently adjudicated at Screening. Clinical hSLEDAI score (not based on laboratory criteria) must be re-confirmed as \>= 4 at the Baseline visit. Lupus headache or organic brain syndrome do not count towards the hSLEDAI points required for eligibility but should be documented on the hSLEDAI if present. * Physician's Global Assessment (PhGA) \>= 1 during screening period. * On stable background treatment for \>= 30 days prior to Baseline (with the exception of oral corticosteroid \[OCS\], which must be at a stable dose for \>=14 days prior to Baseline) with    * antimalarial(s) \[hydroxychloroquine \<= 400 mg daily, chloroquine \<= 500 mg daily, quinacrine \<= 100 mg daily\];   * and/or prednisone (or prednisone-equivalent) (\<= 20 mg daily);   * and/or no more than 1 of the following: azathioprine (\<= 150 mg daily), mycophenolate mofetil (\<= 2 g daily), mycophenolate sodium \<= 1,440 mg/day, leflunomide (\<= 20 mg daily), cyclosporine, tacrolimus, voclosporin (\<= 23.7 mg twice daily), methotrexate (\<= 25 mg weekly), or mizoribine (\<=150 mg daily)  Exclusion Criteria:  * Clinically relevant or significant ECG abnormalities at Screening. * Planned elective surgery that would impact study procedures or assessments through the completion of the Week 52 assessments.	False		Lithuania|Serbia|Latvia|Australia|Brazil|United Kingdom|Bosnia and Herzegovina|Greece|Taiwan|Argentina|Turkey|Hungary|Estonia|Spain|Puerto Rico|Germany|Romania|Switzerland|Belgium|Portugal|United States|Italy|Korea, Republic of|Colombia|Croatia|Japan|China|France|Israel|Bulgaria|Slovakia|Poland|New Zealand|Chile|South Africa|Mexico	PHASE3	1000	Systemic Lupus Erythematosus (SLE) is an immune-mediated disease associated with inflammation of multiple organ systems. This study will assess how safe and effective upadacitinib is in treating adult participants with moderately to severely active SLE. Adverse events and change in the disease activity will be assessed.  Upadacitinib is an approved drug for rheumatoid arthritis, psoriatic arthritis, and axial spondylarthritis and is being developed for the treatment of SLE. This study is "double-blinded", which means that neither the trial participants nor the study doctors will know who will be given upadacitinib and who will be given placebo (does not contain treatment drug) . This study comprised of 3 sub studies. In Study 1 and Study 2, study doctors put the participants in 1 of the 2 groups, called treatment arms. Each group receives a different treatment. There is a 1 in 2 chance that participants will be assigned to placebo. Eligible participants from Study 1 and Study 2 will enter Study 3 at week 52 to receive specific doses of upadacitinib based on their disease activity and their original treatment assignment in Study 1 or 2. Approximately 500 participants diagnosed with SLE will be enrolled in each of the Study 1 and Study 2 in approximately 320 sites across the world.  Participants will receive oral tablets of upadacitinib or matching placebo once daily for 52 weeks in Study 1 and Study 2. Eligible participants from Study 1 and Study 2 will receive oral tablets of upadacitinib once daily for 52 weeks in Study 3.  There may be higher treatment burden for participants in this trial compared to their standard of care. Participants will attend regular visits during the study at a hospital or clinic. The effect of the treatment will be checked by medical assessments, checking for side effects and completing questionnaires.	https://ClinicalTrials.gov/show/NCT05843643	Percentage of Participants Achieving British Isles Lupus Assessment Group Based Combined Lupus Assessment (BICLA) Response; At Week 52|Percentage of Participants Achieving British Isles Lupus Assessment Group Based Combined Lupus Assessment (BICLA) Response; At Week 52
NCT05835856	e-VITA: European-Japanese Virtual Coach for Smart Ageing (WAVE II)	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-05-22	65	None	ALL	Inclusion Criteria:  * Able to stand and walk unaided; * No acute or untreated medical problems; * Montreal Cognitive Assessement test (MOCA) ≥ 22; * Geriatric Depression Scale (GDS) \< 9; * Short performance physical battery (SPPB) ≥ 7 * Clinical Frailty Scale score between 2 and 4.  Exclusion Criteria:  * Use of active implant or not-implant medical devices; * Allergy to nichel; * A myocardial infarction or stroke within 6 months; * Painful arthritis, spinal stenosis, amputation, painful foot lesions or neuropathy limiting balance and mobility; * Uncontrolled hypertension; * Pacemaker or implantable cardioverter defibrillator;	False		Germany|France|Japan|Italy	NA	240	The study is a multicentre Proof-of-Concept. The general objective of the e-VITA project is to develop a personalized virtual coach capable of interacting with its elderly interlocutor. The experimentation will be carried out in 4 sites: Italy, France, Germany and Japan.	https://ClinicalTrials.gov/show/NCT05835856	Change in the Quality of Life; baseline and 6 months later|Change in the Quality of Life; baseline and 6 months later
NCT05827016	A Phase 3, Two-stage, Randomized, Multi-center, Controlled, Open-label Study Comparing Iberdomide Maintenance to Lenalidomide Maintenance Therapy After Autologous Stem Cell Transplantation (ASCT) in Participants With Newly Diagnosed Multiple Myeloma (NDMM) (EXCALIBER-Maintenance)	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-06-15	18	None	ALL	Inclusion Criteria  * Confirmed diagnosis of symptomatic multiple myeloma (MM) * Eastern Cooperative Oncology Group performance status (ECOG) score of 0, 1, or 2 * Received 3 to 6 cycles of an induction therapy that includes a proteasome inhibitor (PI) and immunomodulatory (IMiD) \[eg, bortezomib thalidomide and dexamethasone (VTd), lenalidomide, bortezomib and dexamethasone (RVd)\] with or without a CD38 monoclonal antibody, or Velcade® (bortezomib), cyclophosphamide, dexamethasone (VCd), and followed by a single or tandem autologous stem cell transplantation (ASCT). Post-stem cell transplant consolidation is permitted * Participants within 12 months from initiation of induction therapy who achieved at least a partial response (PR) after autologous stem cell transplantation (ASCT) with or without consolidation, according to International Myeloma Working Group (IMWG 2016) criteria  Exclusion Criteria  * Progressive disease or clinical relapse (as defined by IMWG response criteria) following ASCT with or without consolidation or is not responsive to primary therapy * Smoldering myeloma, solitary plasmacytoma or nonsecretory myeloma * Known central nervous system/meningeal involvement of MM * Prior history of malignancies, other than MM, unless the participant has been free of the disease for ≥ 5 years  Other protocol-defined inclusion/exclusion criteria apply	False		Czechia|Australia|Brazil|United Kingdom|Greece|Austria|Taiwan|Argentina|Turkey|Hungary|Spain|Sweden|Singapore|Germany|Romania|Switzerland|Belgium|Portugal|United States|Hong Kong|India|Canada|Italy|Korea, Republic of|Colombia|Japan|China|France|Israel|Iceland|Denmark|Poland|Finland|Netherlands|Chile|Mexico	PHASE3	1216	The purpose of this study is to compare the effectiveness of iberdomide maintenance to lenalidomide maintenance therapy after autologous stem cell transplantation (ASCT) in participants with newly diagnosed multiple myeloma (NDMM).	https://ClinicalTrials.gov/show/NCT05827016	Progression-free survival (PFS); Up to 6 years|Progression-free survival (PFS); Up to 6 years
